2024-03-28 19:50:40.563 | WARNING  | qlib.tests.data:qlib_data:175 - Data already exists: ~/.qlib/qlib_data/cn_data, the data download will be skipped
[3414733:MainThread](2024-03-28 20:15:16,116) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:15:22,142) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:15:27,705) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:17:59,413) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 20:18:03,071) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 20:18:03,184) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:  14%|█▎        | 6/44 [27:22<2:54:21, 275.29s/it][3414733:MainThread](2024-03-28 20:18:03,194) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 20:18:03,210) INFO - qlib.workflow - [recorder.py:341] - Recorder c9fb39617bc346669be8b564b72f8227 starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 20:18:03,492) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3414733:MainThread](2024-03-28 20:18:04,258) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3414733:MainThread](2024-03-28 20:18:05,948) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3414733:MainThread](2024-03-28 20:18:10,935) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:18:22,224) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:18:26,068) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:20:02,103) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3414733:MainThread](2024-03-28 20:20:04,890) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:20:12,087) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:20:16,029) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:22:45,500) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 20:22:48,967) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 20:22:49,056) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:  16%|█▌        | 7/44 [32:08<2:51:53, 278.75s/it][3414733:MainThread](2024-03-28 20:22:49,063) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 20:22:49,074) INFO - qlib.workflow - [recorder.py:341] - Recorder 10622e3560604c5fa57309ffff5adb98 starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 20:22:49,287) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3414733:MainThread](2024-03-28 20:22:50,057) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3414733:MainThread](2024-03-28 20:22:51,740) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3414733:MainThread](2024-03-28 20:22:56,094) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:23:04,393) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:23:09,018) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:24:32,991) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3414733:MainThread](2024-03-28 20:24:35,607) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:24:39,099) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:24:43,645) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:26:58,323) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 20:27:01,846) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 20:27:01,932) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:  18%|█▊        | 8/44 [36:21<2:42:18, 270.51s/it][3414733:MainThread](2024-03-28 20:27:01,942) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 20:27:01,958) INFO - qlib.workflow - [recorder.py:341] - Recorder 5ba2751f36e5423f9eb4b3891d883957 starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 20:27:02,225) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3414733:MainThread](2024-03-28 20:27:03,001) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3414733:MainThread](2024-03-28 20:27:04,705) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3414733:MainThread](2024-03-28 20:27:09,388) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:27:20,650) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:27:24,666) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:29:01,032) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3414733:MainThread](2024-03-28 20:29:03,756) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:29:10,844) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:29:14,889) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3414733:MainThread](2024-03-28 20:31:47,441) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3414733:MainThread](2024-03-28 20:31:50,833) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 9
[3414733:MainThread](2024-03-28 20:31:50,914) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done

train tasks:  20%|██        | 9/44 [41:10<2:41:10, 276.29s/it][3414733:MainThread](2024-03-28 20:31:50,923) INFO - qlib.workflow - [exp.py:258] - Experiment 9 starts running ...
[3414733:MainThread](2024-03-28 20:31:50,939) INFO - qlib.workflow - [recorder.py:341] - Recorder 88af5748608b4799ab39c55b91274487 starts running under Experiment 9 ...
[3414733:MainThread](2024-03-28 20:31:51,205) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3414733:MainThread](2024-03-28 20:31:51,967) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3414733:MainThread](2024-03-28 20:31:53,673) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3414733:MainThread](2024-03-28 20:31:58,304) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3414733:MainThread](2024-03-28 20:32:06,337) INFO - qlib.DEnsembleModel - [double_ensemble.py:98] - Sample re-weighting...
[3414733:MainThread](2024-03-28 20:32:10,402) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
