2024-03-28 15:26:56.279 | WARNING  | qlib.tests.data:qlib_data:175 - Data already exists: ~/.qlib/qlib_data/cn_data, the data download will be skipped
[3071557:MainThread](2024-03-28 15:55:57,971) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 15:56:03,045) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 15:56:03,126) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  14%|█▎        | 6/44 [29:06<3:14:19, 306.82s/it][3071557:MainThread](2024-03-28 15:56:03,136) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 15:56:03,155) INFO - qlib.workflow - [recorder.py:341] - Recorder f5e060141fc940ea9097907bca9f6a72 starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 15:56:03,509) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 15:56:04,389) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 15:56:06,261) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3071557:MainThread](2024-03-28 15:56:13,195) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 15:56:27,803) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 15:58:24,004) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 15:58:26,288) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 15:58:31,717) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:00:59,260) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 16:01:02,589) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 16:01:02,677) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  16%|█▌        | 7/44 [34:06<3:07:44, 304.44s/it][3071557:MainThread](2024-03-28 16:01:02,687) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 16:01:02,701) INFO - qlib.workflow - [recorder.py:341] - Recorder 99b48ba2448d4ecca80e12f4b58b43c4 starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 16:01:03,097) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 16:01:03,854) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 16:01:05,662) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3071557:MainThread](2024-03-28 16:01:10,308) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:01:18,568) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:02:41,341) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 16:02:43,666) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:02:47,913) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:04:50,782) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 16:04:54,018) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 16:04:54,080) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  18%|█▊        | 8/44 [37:57<2:48:42, 281.19s/it][3071557:MainThread](2024-03-28 16:04:54,091) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 16:04:54,106) INFO - qlib.workflow - [recorder.py:341] - Recorder 05c3f71df2c94b80b77661af90452748 starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 16:04:54,509) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 16:04:55,149) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 16:04:56,846) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
[3071557:MainThread](2024-03-28 16:05:01,764) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:05:13,296) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:06:59,638) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (2/3)
[3071557:MainThread](2024-03-28 16:07:02,330) INFO - qlib.DEnsembleModel - [double_ensemble.py:88] - Retrieving loss curve and loss values...
[3071557:MainThread](2024-03-28 16:07:09,453) INFO - qlib.DEnsembleModel - [double_ensemble.py:102] - Feature selection...
[3071557:MainThread](2024-03-28 16:09:37,844) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (3/3)
[3071557:MainThread](2024-03-28 16:09:41,336) INFO - qlib.workflow - [record_temp.py:198] - Signal record 'pred.pkl' has been saved as the artifact of the Experiment 8
[3071557:MainThread](2024-03-28 16:09:41,405) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
train tasks:  20%|██        | 9/44 [42:45<2:45:08, 283.11s/it][3071557:MainThread](2024-03-28 16:09:41,414) INFO - qlib.workflow - [exp.py:258] - Experiment 8 starts running ...
[3071557:MainThread](2024-03-28 16:09:41,428) INFO - qlib.workflow - [recorder.py:341] - Recorder 07d5e4d4e98b4c558794105183227d4f starts running under Experiment 8 ...
[3071557:MainThread](2024-03-28 16:09:41,884) INFO - qlib.DEnsembleModel - [double_ensemble.py:57] - Double Ensemble Model...
[3071557:MainThread](2024-03-28 16:09:42,666) WARNING - qlib.utils - [__init__.py:789] - The parameter `reweighter` with value `None` is ignored.
[3071557:MainThread](2024-03-28 16:09:44,628) INFO - qlib.DEnsembleModel - [double_ensemble.py:81] - Training sub-model: (1/3)
